Name,Lat,Lng,Type
Prince Rupert Airport,54.286098480199996,-130.445007324,airport
Fort Chipewyan Airport,58.7672004699707,-111.11699676513672,airport
Muskoka Airport,44.974700927734375,-79.30329895019531,airport
Quebec Jean Lesage International Airport,46.7911,-71.393303,airport
Red Deer Regional Airport,52.18220138549805,-113.89399719238281,airport
Windsor Airport,42.27560043334961,-82.95559692382812,airport
Watson Lake Airport,60.11640167236328,-128.82200622558594,airport
Kenora Airport,49.788299560546875,-94.36309814453125,airport
Lethbridge County Airport,49.6302986145,-112.800003052,airport
Greater Moncton International Airport,46.11220169067383,-64.67859649658203,airport
Comox Airport,49.71080017089844,-124.88700103759766,airport
Regina International Airport,50.43190002441406,-104.66600036621094,airport
Thunder Bay Airport,48.37189865112305,-89.32389831542969,airport
Grande Prairie Airport,55.1796989441,-118.885002136,airport
Yorkton Municipal Airport,51.26470184326172,-102.46199798583984,airport
North Battleford Airport,52.76919937133789,-108.24400329589844,airport
Gander International Airport,48.9369010925293,-54.56809997558594,airport
Sydney / J.A. Douglas McCurdy Airport,46.161399841299996,-60.0477981567,airport
Quesnel Airport,53.026100158691406,-122.51000213623047,airport
Resolute Bay Airport,74.7169036865,-94.9693984985,airport
Rivière-du-Loup Airport,47.764400482177734,-69.58470153808594,airport
Roberval Airport,48.52000045776367,-72.2656021118164,airport
Rocky Mountain House Airport,52.4296989441,-114.903999329,airport
Rankin Inlet Airport,62.8114013672,-92.1157989502,airport
Sudbury Airport,46625,-80.79889678955078,airport
Sherbrooke Airport,45.4385986328125,-71.69139862060547,airport
Saint John Airport,45.31610107421875,-65.89029693603516,airport
Fort Smith Airport,60.020301818847656,-111.96199798583984,airport
Nanisivik Airport,72.982201,-84.613602,airport
Summerside Airport,46.44060134887695,-63.83359909057617,airport
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,airport
Cape Dorset Airport,64.2300033569,-76.5267028809,airport
Thompson Airport,55.80110168457031,-97.86419677734375,airport
CFB Trenton,44.118900299072266,-77.5280990600586,airport
Timmins/Victor M. Power,48.569698333699996,-81.376701355,airport
Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,airport
Tuktoyaktuk Airport,69.43329620361328,-133.0260009765625,airport
Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,airport
Repulse Bay Airport,66.5214004517,-86.22470092770001,airport
Hall Beach Airport,68.77610015869999,-81.2425,airport
Rouyn Noranda Airport,48.20610046386719,-78.83560180664062,airport
La Ronge Airport,55.151401519800004,-105.262001038,airport
Vermilion Airport,53.355800628699996,-110.823997498,airport
Qikiqtarjuaq Airport,67.5457992554,-64.03140258789999,airport
Val-d'Or Airport,48.0532989502,-77.7827987671,airport
Kuujjuaq Airport,58.096099853515625,-68.4269027709961,airport
Norman Wells Airport,65.28160095214844,-126.7979965209961,airport
Vancouver International Airport,49.193901062,-123.183998108,airport
Buffalo Narrows Airport,55.8418998718,-108.417999268,airport
Wiarton Airport,44.7458,-81.107201,airport
Petawawa Airport,45.95220184326172,-77.31919860839844,airport
Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,airport
Wabush Airport,52.92190170288086,-66.8644027709961,airport
Williams Lake Airport,52.1831016541,-122.054000854,airport
Wrigley Airport,63.20940017700195,-123.43699645996094,airport
Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,airport
Edmonton City Centre (Blatchford Field) Airport,53.5724983215,-113.521003723,airport
Saskatoon John G. Diefenbaker International Airport,52.170799255371094,-106.69999694824219,airport
Medicine Hat Airport,50.01890182495117,-110.72100067138672,airport
Fort St John Airport,56.23809814453125,-120.73999786376953,airport
Sioux Lookout Airport,50.11389923095703,-91.9052963256836,airport
Pangnirtung Airport,66.1449966431,-65.71360015869999,airport
Earlton (Timiskaming Regional) Airport,47.697400654599996,-79.8473453522,airport
Prince George Airport,53.8894004822,-122.679000854,airport
Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,airport
London Airport,43.035599,-81.1539,airport
Abbotsford Airport,49.025299072265625,-122.36100006103516,airport
Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,airport
North Bay Airport,46.36360168457031,-79.42279815673828,airport
Calgary International Airport,51.113899231,-114.019996643,airport
Smithers Airport,54.82469940185547,-127.18299865722656,airport
Fort Nelson Airport,58.8363990784,-122.597000122,airport
Penticton Airport,49.46310043334961,-119.60199737548828,airport
Charlottetown Airport,46.290000915527344,-63.12110137939453,airport
Taloyoak Airport,69.5466995239,-93.5766983032,airport
Victoria International Airport,48.646900177,-123.426002502,airport
Lynn Lake Airport,56.86389923095703,-101.07599639892578,airport
Swift Current Airport,50.291900634799994,-107.691001892,airport
Churchill Airport,58.739200592041016,-94.06500244140625,airport
Goose Bay Airport,53.3191986084,-60.4258003235,airport
St. John's International Airport,47.618598938,-52.7518997192,airport
Kapuskasing Airport,49.41389846801758,-82.46749877929688,airport
Armstrong Airport,50.29029846191406,-88.90969848632812,airport
Mont Joli Airport,48.60860061645508,-68.20809936523438,airport
Lester B. Pearson International Airport,43.6772003174,-79.63059997559999,airport
Downsview Airport,43.74250030517578,-79.4655990600586,airport
Gore Bay Manitoulin Airport,45.88529968261719,-82.56780242919922,airport
